"ID","Name","coord","link","lon","lat","js"
30,"Zwinglipasshuette, SAC Toggenburg","746.700/233.170","https://www.alpsonline.org/reservation/calendar?hut_id=30",9.3762035,47.2332194,"['Zwinglipasshuette, SAC Toggenburg',9.3762035,47.2332194],"
31,"Dossenhuette SAC, SAC Oberaargau","655'939/167'367","https://www.alpsonline.org/reservation/calendar?hut_id=31",8.0529396,46.6340468,"['Dossenhuette SAC, SAC Oberaargau',8.0529396,46.6340468],"
32,"Hundsteinhuette SAC, SAC Saentis","750.140/235.660","https://www.alpsonline.org/reservation/calendar?hut_id=32",9.4222242,47.25486,"['Hundsteinhuette SAC, SAC Saentis',9.4222242,47.25486],"
33,"Chamonna Tuoi CAS, SAC Engiadina Bassa","805.492/190.129","https://www.alpsonline.org/reservation/calendar?hut_id=33",10.0287409,46.650234,"['Chamonna Tuoi CAS, SAC Engiadina Bassa',10.0287409,46.650234],"
34,"Capanna Cadlimo CAS, SAC Uto","696.330/158.580","https://www.alpsonline.org/reservation/calendar?hut_id=34",8.6952215,46.5716143,"['Capanna Cadlimo CAS, SAC Uto',8.6952215,46.5716143],"
35,"Hoernlihuette - Matterhorn Base Camp, Burgergemeinde Zermatt","619.500/093.100","https://www.alpsonline.org/reservation/calendar?hut_id=35",7.6770693,45.9823021,"['Hoernlihuette - Matterhorn Base Camp, Burgergemeinde Zermatt',7.6770693,45.9823021],"
36,"Capanna Campo Tencia CAS, CAS Ticino","Coordinate:
699.440/144.470","https://www.alpsonline.org/reservation/calendar?hut_id=36",8.73274,46.4442,"['Capanna Campo Tencia CAS, CAS Ticino',8.73274,46.4442],"
37,"Brunnihuette SAC, SAC Engelberg","674.140/188.210","https://www.alpsonline.org/reservation/calendar?hut_id=37",8.4106484,46.8409072,"['Brunnihuette SAC, SAC Engelberg',8.4106484,46.8409072],"
38,"Capanna Sasc Furae CAS, CAS Bregaglia","765.110/131.580","https://www.alpsonline.org/reservation/calendar?hut_id=38",9.5824,46.315328,"['Capanna Sasc Furae CAS, CAS Bregaglia',9.5824,46.315328],"
39,"Glattalphuette SAC, SAC Mythen","709.410/197.200","https://www.alpsonline.org/reservation/calendar?hut_id=39",8.8749737,46.9168148,"['Glattalphuette SAC, SAC Mythen',8.8749737,46.9168148],"
40,"Baergbeizli Underbaergli","E622.614/N150.578","https://www.alpsonline.org/reservation/calendar?hut_id=40",7.7322387,46.5054343,"['Baergbeizli Underbaergli',7.7322387,46.5054343],"
41,"Rugghubelhuette SAC, SAC Titlis","679'065/189'421","https://www.alpsonline.org/reservation/calendar?hut_id=41",8.4627557,46.8461725,"['Rugghubelhuette SAC, SAC Titlis',8.4627557,46.8461725],"
42,"Capanna Adula CAS, CAS Ticino","Coordinate:
719'530/150'940","https://www.alpsonline.org/reservation/calendar?hut_id=42",8.9957999,46.4991,"['Capanna Adula CAS, CAS Ticino',8.9957999,46.4991],"
43,"Cabane du Vélan CAS, CAS Genevoise","585.010/85.050","https://www.alpsonline.org/reservation/calendar?hut_id=43",7.2454686,45.9169428,"['Cabane du Vélan CAS, CAS Genevoise',7.2454686,45.9169428],"
44,"Gspaltenhornhuette SAC, SAC Bern","2'628'518.938/1'151'333.890","https://www.alpsonline.org/reservation/calendar?hut_id=44",7.81025,46.5128,"['Gspaltenhornhuette SAC, SAC Bern',7.81025,46.5128],"
45,"Windgaellenhuette AACZ, AACZ","700.560/182.950","https://www.alpsonline.org/reservation/calendar?hut_id=45",8.7557867,46.790173,"['Windgaellenhuette AACZ, AACZ',8.7557867,46.790173],"
46,"Carschinahuette SAC, SAC Raetia","781.620/208.980","https://www.alpsonline.org/reservation/calendar?hut_id=46",9.827314,47.007077,"['Carschinahuette SAC, SAC Raetia',9.827314,47.007077],"
47,"Oberaletschhuette SAC, CAS Chasseral","640.944/141.567","https://www.alpsonline.org/reservation/calendar?hut_id=47",7.9738641,46.4249239,"['Oberaletschhuette SAC, CAS Chasseral',7.9738641,46.4249239],"
48,"Cabane des Violettes CAS, CAS Montana-Vermala","604'730/132'330","https://www.alpsonline.org/reservation/calendar?hut_id=48",7.50007,46.3423,"['Cabane des Violettes CAS, CAS Montana-Vermala',7.50007,46.3423],"
49,"Capanna Bovarina, UTOE Bellinzona","Coordinate:
711.250/157.600","https://www.alpsonline.org/reservation/calendar?hut_id=49",8.888438,46.560075,"['Capanna Bovarina, UTOE Bellinzona',8.888438,46.560075],"
50,"Chamanna Cluozza, Schweizerischer Nationalpark","629.146/089.553","https://www.alpsonline.org/reservation/calendar?hut_id=50",10.1177572,46.6628872,"['Chamanna Cluozza, Schweizerischer Nationalpark',10.1177572,46.6628872],"
51,"Taeschhuette SAC, SAC Uto","630'300/100'090","https://www.alpsonline.org/reservation/calendar?hut_id=51",7.830011,46.051538,"['Taeschhuette SAC, SAC Uto',7.830011,46.051538],"
52,"Berghaus Maenndlenen","640'570/168'770","https://www.alpsonline.org/reservation/calendar?hut_id=52",7.96885,46.669,"['Berghaus Maenndlenen',7.96885,46.669],"
53,"Igloo des Pantalons Blancs, CAS Sion","Coordonnées:
594.560/098.780","https://www.alpsonline.org/reservation/calendar?hut_id=53",7.36837,46.0405,"['Igloo des Pantalons Blancs, CAS Sion',7.36837,46.0405],"
54,"Grathaus Moron, SAC Angenstein","587.168/234.694","https://www.alpsonline.org/reservation/calendar?hut_id=54",7.2690611,47.263082,"['Grathaus Moron, SAC Angenstein',7.2690611,47.263082],"
55,"Chelenalphuette SAC, SAC Aarau","676'630/169'430","https://www.alpsonline.org/reservation/calendar?hut_id=55",8.4398738,46.6717492,"['Chelenalphuette SAC, SAC Aarau',8.4398738,46.6717492],"
57,"Spitzsteinhaus, Sektion Bergfreunde Muenchen","N47°42'16"",E12°14'36""","https://www.alpsonline.org/reservation/calendar?hut_id=57",11.7081726,48.1046511,"['Spitzsteinhaus, Sektion Bergfreunde Muenchen',11.7081726,48.1046511],"
