start,end,note,sheet
"2025-01-21 11:10:01","2025-01-21 13:18:57","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-21 15:21:02","2025-01-21 16:14:30","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-21 16:14:32","2025-01-21 16:49:14","LED","RR"
"2025-01-21 16:49:19","2025-01-21 17:19:33","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-22 10:10:00","2025-01-22 10:44:06","LED","RR"
"2025-01-22 10:50:00","2025-01-22 11:15:05","LED","RR"
"2025-01-22 11:26:23","2025-01-22 11:31:13","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-22 11:58:56","2025-01-22 13:16:37","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-22 14:52:28","2025-01-22 14:58:28","LED","RR"
"2025-01-22 15:03:45","2025-01-22 18:21:11","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-23 11:10:00","2025-01-23 12:02:57","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-23 12:02:59","2025-01-23 12:06:41","LED","RR"
"2025-01-23 12:06:45","2025-01-23 12:23:15","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-23 12:23:17","2025-01-23 12:31:22","LED","RR"
"2025-01-23 12:31:24","2025-01-23 13:14:33","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-23 14:49:01","2025-01-23 15:08:16","LED","RR"
"2025-01-23 15:08:19","2025-01-23 18:13:54","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-23 19:20:23","2025-01-23 19:47:48","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-24 10:29:24","2025-01-24 10:35:09","LED","RR"
"2025-01-24 12:03:05","2025-01-24 12:26:24","LED","RR"
"2025-01-24 12:50:31","2025-01-24 13:18:35","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-24 18:30:00","2025-01-24 18:44:16","LED","RR"
"2025-01-25 14:49:37","2025-01-25 15:24:03","41._Unterlandstafette_[304757]","RR"
"2025-01-25 15:33:07","2025-01-25 15:50:47","41._Unterlandstafette_[304757]","RR"
"2025-01-25 16:07:12","2025-01-25 16:13:46","41._Unterlandstafette_[304757]","RR"
"2025-01-25 19:30:00","2025-01-25 19:56:18","41._Unterlandstafette_[304757]","RR"
