"name"	"coord"	"desc"	"group"
"Kyparissi"	"36.93381285,23.0261565"	"Routes:477 - Ascents:5452

<a href='https://www.thecrag.com/climbing/greece/area/980182476' target='_blank'>Thecrag link</a>"	"Climbing"
"Manikia"	"38.5436803,24.00851835"	"Routes:672 - Ascents:5600

<a href='https://www.thecrag.com/climbing/greece/manikia' target='_blank'>Thecrag link</a>"	"Climbing"
"Kastritsa"	"39.6247987,20.911167"	"Routes:125 - Ascents:566

<a href='https://www.thecrag.com/climbing/greece/area/987884571' target='_blank'>Thecrag link</a>"	"Climbing"
"Kymi"	"38.59178205,24.07391685"	"Routes:723 - Ascents:5668

<a href='https://www.thecrag.com/climbing/greece/area/718461381' target='_blank'>Thecrag link</a>"	"Climbing"
"Athens"	"37.9896737,23.60347665"	"Routes:2039 - Ascents:57924

<a href='https://www.thecrag.com/climbing/greece/area/11882521' target='_blank'>Thecrag link</a>"	"Climbing"
"Argolis"	"37.563786,22.96751685"	"Routes:583 - Ascents:6007

<a href='https://www.thecrag.com/climbing/greece/argolis' target='_blank'>Thecrag link</a>"	"Climbing"
"Kalogria"	"38.16172625,21.38940805"	"Routes:123 - Ascents:616

<a href='https://www.thecrag.com/climbing/greece/kalogria' target='_blank'>Thecrag link</a>"	"Climbing"
"Magnesia"	"39.3223394,22.9610173"	"Routes:574 - Ascents:628

<a href='https://www.thecrag.com/climbing/greece/area/6780429720' target='_blank'>Thecrag link</a>"	"Climbing"
"Evia"	"38.47735885,23.71776975"	"Routes:954 - Ascents:6365

<a href='https://www.thecrag.com/climbing/greece/area/1655027658' target='_blank'>Thecrag link</a>"	"Climbing"
"Kalymnos"	"36.99548155,26.97610315"	"Routes:4593 - Ascents:65670

<a href='https://www.thecrag.com/climbing/greece/kalymnos' target='_blank'>Thecrag link</a>"	"Climbing"
"Aegean Islands"	"37.6709924,26.78108265"	"Routes:7110 - Ascents:67311

<a href='https://www.thecrag.com/climbing/greece/area/1665159444' target='_blank'>Thecrag link</a>"	"Climbing"
"Crete"	"35.1949803,25.0041509"	"Routes:1523 - Ascents:7139

<a href='https://www.thecrag.com/climbing/greece/area/275126256' target='_blank'>Thecrag link</a>"	"Climbing"
"Varasova - Kryoneri"	"38.3482322,21.5949113"	"Routes:163 - Ascents:722

<a href='https://www.thecrag.com/climbing/greece/varasova' target='_blank'>Thecrag link</a>"	"Climbing"
"Volax"	"37.59751695,25.17458225"	"Routes:128 - Ascents:73

<a href='https://www.thecrag.com/climbing/greece/area/2437609017' target='_blank'>Thecrag link</a>"	"Climbing"
"Lakonia"	"36.7638233,22.73165175"	"Routes:922 - Ascents:7421

<a href='https://www.thecrag.com/climbing/greece/area/1664024853' target='_blank'>Thecrag link</a>"	"Climbing"
"Achaia"	"38.0664934,21.8644457"	"Routes:275 - Ascents:758

<a href='https://www.thecrag.com/climbing/greece/area/1664071368' target='_blank'>Thecrag link</a>"	"Climbing"
"Loutra"	"39.92296515,23.59456925"	"Routes:162 - Ascents:77

<a href='https://www.thecrag.com/climbing/greece/area/10421505798' target='_blank'>Thecrag link</a>"	"Climbing"
"Santorini"	"36.40517275,25.40387465"	"Routes:133 - Ascents:78

<a href='https://www.thecrag.com/climbing/greece/area/927992202' target='_blank'>Thecrag link</a>"	"Climbing"
"Messinia"	"37.06572765,21.9493041"	"Routes:198 - Ascents:810

<a href='https://www.thecrag.com/climbing/greece/area/1664040261' target='_blank'>Thecrag link</a>"	"Climbing"
"Petriados"	"37.59576585,25.1830371"	"Routes:144 - Ascents:9

<a href='https://www.thecrag.com/climbing/greece/area/5671567023' target='_blank'>Thecrag link</a>"	"Climbing"
"Nea Iraklitsa"	"40.863859,24.3332826"	"Routes:207 - Ascents:927

<a href='https://www.thecrag.com/climbing/greece/area/3011616072' target='_blank'>Thecrag link</a>"	"Climbing"
