urlroute;url;name;grad;lat;lon
https://www.thecrag.com/de/klettern/france/pic-sans-nom/route/9013760115;https://www.thecrag.com/de/klettern/france/pic-sans-nom;George/Russenberger;5c;44.89240;6.38377 
https://www.thecrag.com/de/klettern/france/ailefroide/route/9013722336;https://www.thecrag.com/de/klettern/france/ailefroide/area/9013715643;Devies/Gervasutti;5b;44.88418;6.35605 
https://www.thecrag.com/de/klettern/france/alps/route/9013800054;https://www.thecrag.com/de/klettern/france/alps/area/3694857990;Pilier Sud / Franco;5a;44.92517;6.35614 
https://www.thecrag.com/de/klettern/france/la-meije/route/14016895;https://www.thecrag.com/de/klettern/france/la-meije;Voie directe Allain (face sud);{UIAA} 6-;45.00460;6.30644 
https://www.thecrag.com/de/klettern/italy/northern-italy/val-daosta/route/9013856163;https://www.thecrag.com/de/klettern/italy/northern-italy/val-daosta/area/9013839267;Cresta Peuterey;5a;45.81300;6.89874 
https://www.thecrag.com/de/klettern/france/mont-blanc-du-tacul-mont-maudit/route/2150863965;https://www.thecrag.com/de/klettern/france/mont-blanc-du-tacul-mont-maudit;Arête du Diable;5c D;45.85828;6.89393 
https://www.thecrag.com/de/klettern/france/mont-blanc/route/15875017;https://www.thecrag.com/de/klettern/france/mont-blanc;Freney Pillar;;45.82806;6.87167 
https://www.thecrag.com/de/klettern/france/alps/chamonix-area/route/2150203824;https://www.thecrag.com/de/klettern/france/alps/chamonix-area/area/945060183;Voie Bonatti - Ghigo;;45.85208;6.89911 
https://www.thecrag.com/de/klettern/france/alps/chamonix-area/route/9013899639;https://www.thecrag.com/de/klettern/france/alps/chamonix-area/area/2150875341;Eperon Croz;5c;45.87056;6.98396 
https://www.thecrag.com/de/klettern/france/alps/chamonix-area/route/2707680222;https://www.thecrag.com/de/klettern/france/alps/chamonix-area/area/2150875341;North face / Walker spur;;45.87056;6.98396 
https://www.thecrag.com/de/klettern/france/alps/chamonix-area/route/6455333034;https://www.thecrag.com/de/klettern/france/alps/chamonix-area/area/6455326134;Voie Contamine;5c - 6a;45.86643;6.86951 
https://www.thecrag.com/de/klettern/france/les-aiguilles-de-chamonix/aiguille-du-blaitiere/route/9013937805;https://www.thecrag.com/de/klettern/france/les-aiguilles-de-chamonix/aiguille-du-blaitiere/area/19863523;Brown-Whillans;;45.89943;6.91315 
https://www.thecrag.com/de/klettern/france/petit-dru/route/15874693;https://www.thecrag.com/de/klettern/france/petit-dru;american direct;;45.93157;6.95445 
https://www.thecrag.com/de/klettern/switzerland/alpen/wallis/route/9013977141;https://www.thecrag.com/de/klettern/switzerland/alpen/wallis/area/9013969944;Stockhorn-Bietschhorn Überschreitung;4b;46.38989;7.85532 
https://www.thecrag.com/de/klettern/switzerland/alpen/berner-oberland/route/3461535318;https://www.thecrag.com/de/klettern/switzerland/alpen/berner-oberland/area/1875760983;Direkte Nordwand;5c+;46.64403;8.10796 
https://www.thecrag.com/de/klettern/switzerland/engelhorn/route/1927429194;https://www.thecrag.com/de/klettern/switzerland/engelhorn/area/1927425645;Kingspitze-Nordostwand;;46.67549;8.17483 
https://www.thecrag.com/de/klettern/switzerland/alpen/berner-oberland/route/3487301595;https://www.thecrag.com/de/klettern/switzerland/alpen/berner-oberland/area/3487090269;Inwyler-Bielmeier;;46.74394;8.32378 
https://www.thecrag.com/de/klettern/switzerland/goscheneralptal/salbitschijen/route/980250270;https://www.thecrag.com/de/klettern/switzerland/goscheneralptal/salbitschijen/area/980071464;Westgrat;;46.67822;8.52449 
https://www.thecrag.com/de/klettern/switzerland/goscheneralptal/salbitschijen/route/980276271;https://www.thecrag.com/de/klettern/switzerland/goscheneralptal/salbitschijen/area/980071542;SE-Wand (Niedermann);6a;46.67799;8.53060 
https://www.thecrag.com/de/klettern/switzerland/bregaglia/route/9014037039;https://www.thecrag.com/de/klettern/switzerland/bregaglia/area/9014034132;Nordwestpfeiler Gaiser-Lehmann;5b;46.29521;9.60014 
https://www.thecrag.com/de/klettern/austria/route/5297416530;https://www.thecrag.com/de/klettern/austria/area/5297398467;Spitzenstätter;;47.39543;11.11105 
https://www.thecrag.com/de/klettern/austria/schusselkarsudwand/route/5628353103;https://www.thecrag.com/de/klettern/austria/schusselkarsudwand/area/5301376233;Südostwand (Peters-Haringer);;47.39665;11.11956 
https://www.thecrag.com/de/klettern/austria/route/5078496243;https://www.thecrag.com/de/klettern/austria/area/332456547;Südverschneidung;6+;47.49956;10.61000 
https://www.thecrag.com/de/klettern/switzerland/bregaglia/route/255757944;https://www.thecrag.com/de/klettern/switzerland/bregaglia/area/255755058;Bugeleisen;5b;46.29465;9.61077 
https://www.thecrag.com/de/klettern/switzerland/bregaglia/route/9014207724;https://www.thecrag.com/de/klettern/switzerland/bregaglia/area/5980426872;Fuorikante;;46.30419;9.62855 
https://www.thecrag.com/de/klettern/switzerland/bockmattli/route/763533906;https://www.thecrag.com/de/klettern/switzerland/bockmattli/area/758875308;Direkte Nordwand;;47.10210;8.95577 
https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/churfirsten/route/1486039920;https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/churfirsten/area/1459869003;Alte Süd;;47.15416;9.28454 
https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/route/1482345159;https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/area/689119227;Südverschneidung;5c+;47.25221;9.40301 
https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/route/1482344691;https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/area/689119227;Südwand;5c;47.25221;9.40301 
https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/route/705327054;https://www.thecrag.com/de/klettern/switzerland/alpen/appenzeller-alpen/area/507217542;Südwandverschneidung;6a;47.24216;9.42218 
https://www.thecrag.com/de/klettern/switzerland/alpen/graubunden/route/1432316574;https://www.thecrag.com/de/klettern/switzerland/alpen/graubunden/area/1432154754;Schweizerpfeiler;;47.02282;9.80807 
https://www.thecrag.com/de/klettern/switzerland/alpen/graubunden/route/1413936243;https://www.thecrag.com/de/klettern/switzerland/alpen/graubunden/area/1413928959;Austriakenriss;6a;47.01201;9.83404 
https://www.thecrag.com/de/klettern/switzerland/alpen/graubunden/route/1428472428;https://www.thecrag.com/de/klettern/switzerland/alpen/graubunden/area/1413996588;Westverschneidung;;47.00611;9.87254 
